empleado_id,nombre,tienda_id,rol,tipo_contrato,salario_diario_mxn,antiguedad_meses,disponibilidad
N051-281,Alejandro Mendoza,T051,piso_reposicion,completo,212.52,34,completa
N051-282,Víctor Núñez,T051,piso_reposicion,completo,210.64,87,completa
N051-283,Juan González,T051,almacen,completo,209.15,24,completa
N051-284,Cecilia Ruiz,T051,cajas,completo,268.65,43,completa
N051-285,Mario Morales,T051,perecederos,completo,266.64,113,completa
N051-286,Laura Gutiérrez,T051,piso_reposicion,completo,241.29,34,completa
N051-287,Carlos Álvarez,T051,perecederos,completo,255.04,102,completa
N051-288,Óscar Rivera,T051,piso_reposicion,completo,213.43,51,completa
N051-289,María Rojas,T051,almacen,completo,242.81,25,completa
N051-290,Alejandra Ramos,T051,perecederos,completo,243.43,11,completa
N051-291,Ana Reyes,T051,piso_reposicion,completo,211.65,66,completa
N051-292,Javier Reyes,T051,piso_reposicion,completo,238.64,54,completa
N051-293,Daniela Ortiz,T051,cajas,completo,225.0,61,completa
N051-294,Paola Luna,T051,almacen,completo,204.79,5,completa
N051-295,Mario González,T051,cajas,completo,268.02,32,completa
N051-296,Manuel Jiménez,T051,perecederos,completo,264.41,0,parcial_manana
N051-297,Arturo Delgado,T051,cajas,completo,234.49,36,parcial_tarde
N051-298,Raúl Chávez,T051,piso_reposicion,completo,227.43,112,completa
N051-299,Silvia Castillo,T051,cajas,completo,263.75,18,completa
N051-300,Patricia Reyes,T051,almacen,completo,203.32,83,completa
N051-301,Patricia Pérez,T051,piso_reposicion,completo,215.82,0,completa
N051-302,Fernando Aguilar,T051,almacen,completo,230.81,67,completa
N051-303,Eduardo Núñez,T051,piso_reposicion,completo,240.35,111,completa
N051-304,Itzel Jiménez,T051,piso_reposicion,completo,258.62,41,parcial_tarde
N051-305,Elena Gutiérrez,T051,almacen,completo,218.73,23,parcial_manana
N051-306,Guadalupe Pérez,T051,piso_reposicion,completo,213.25,69,completa
N051-307,Raúl Luna,T051,cajas,completo,252.25,33,completa
N051-308,Adriana Guerrero,T051,cajas,completo,258.3,107,completa
N051-309,Fernando Núñez,T051,perecederos,completo,239.77,102,completa
N051-310,Rosa Cruz,T051,almacen,completo,227.64,78,parcial_tarde
N051-311,Víctor Aguilar,T051,cajas,completo,231.87,77,completa
N051-312,Víctor Gutiérrez,T051,cajas,completo,270.68,72,completa
N051-313,Lucía Flores,T051,piso_reposicion,completo,251.76,88,completa
N051-314,Sergio Torres,T051,almacen,completo,221.48,55,completa
N051-315,Elena Morales,T051,piso_reposicion,completo,258.34,117,completa
N051-316,Roberto Castillo,T051,perecederos,completo,298.58,41,completa
N051-317,Ana González,T051,cajas,completo,227.76,1,completa
N051-318,Jorge Vargas,T051,piso_reposicion,completo,228.39,84,completa
N051-319,Antonio Chávez,T051,cajas,completo,256.02,80,completa
N051-320,Diana Rojas,T051,piso_reposicion,completo,214.24,118,completa
N051-321,Luis Gómez,T051,cajas,completo,242.96,47,completa
N051-322,Cecilia López,T051,perecederos,completo,248.28,51,completa
N051-323,Elena Díaz,T051,cajas,completo,277.12,68,completa
N051-324,Alejandra Contreras,T051,piso_reposicion,completo,230.58,47,completa
N051-325,Verónica Díaz,T051,perecederos,completo,283.39,94,completa
N051-326,Verónica Vargas,T051,almacen,completo,219.34,51,completa
N051-327,Víctor Delgado,T051,cajas,completo,227.91,94,completa
N051-328,Lucía Gómez,T051,cajas,completo,271.79,51,completa
N051-329,Itzel Aguilar,T051,cajas,completo,220.03,27,completa
N051-330,Fernando Torres,T051,cajas,completo,223.36,119,completa
N051-331,Elena Cruz,T051,cajas,completo,241.86,63,completa
N051-332,Diana Gómez,T051,cajas,completo,261.21,85,completa
N051-333,Sergio Medina,T051,piso_reposicion,completo,227.09,71,completa
N051-334,Alejandro Rojas,T051,piso_reposicion,completo,213.32,43,completa
N051-335,Verónica Rivera,T051,cajas,completo,239.07,117,completa
N051-336,Laura Gómez,T051,piso_reposicion,completo,222.25,44,completa
N051-337,Adriana Juárez,T051,piso_reposicion,completo,210.27,120,parcial_tarde
N051-338,Paola Chávez,T051,piso_reposicion,completo,236.74,52,completa
N051-339,Javier Jiménez,T051,cajas,completo,227.0,2,parcial_manana
N051-340,Itzel Vargas,T051,piso_reposicion,completo,224.37,4,completa
N051-341,Silvia Pérez,T051,cajas,completo,258.47,117,parcial_tarde
N051-342,Brenda Guerrero,T051,perecederos,completo,280.76,63,parcial_manana
N051-343,Luis Cruz,T051,cajas,completo,235.81,46,parcial_manana
N051-344,Mario Medina,T051,piso_reposicion,completo,226.46,98,completa
N051-345,Alejandro Gutiérrez,T051,piso_reposicion,completo,222.35,74,completa
