empleado_id,nombre,tienda_id,rol,tipo_contrato,salario_diario_mxn,antiguedad_meses,disponibilidad
E00001,Guadalupe Martínez,T001,piso_reposicion,completo,210.37,36,completa
E00002,Juan Torres,T001,piso_reposicion,completo,249.35,111,completa
E00003,Roberto Romero,T001,piso_reposicion,completo,243.24,119,completa
E00004,Salvador Herrera,T001,piso_reposicion,completo,245.26,70,completa
E00005,Óscar Jiménez,T001,perecederos,completo,284.65,54,completa
E00006,Luis Guerrero,T001,cajas,completo,247.53,41,completa
E00007,Fernanda Núñez,T001,cajas,completo,254.12,74,completa
E00008,Víctor Pérez,T001,perecederos,completo,239.79,71,parcial_manana
E00009,Ángel Contreras,T001,cajas,completo,226.87,35,completa
E00010,Brenda Mendoza,T001,piso_reposicion,completo,243.42,2,completa
E00011,Patricia Aguilar,T001,cajas,completo,248.27,18,completa
E00012,Rubén Hernández,T001,piso_reposicion,completo,238.26,115,completa
E00013,Alejandro Mendoza,T001,piso_reposicion,completo,248.25,50,parcial_tarde
E00014,Ángel Castro,T001,perecederos,completo,274.43,58,completa
E00015,Sergio Romero,T001,piso_reposicion,completo,237.68,56,parcial_manana
E00016,Ramón Hernández,T001,cajas,completo,253.55,94,completa
E00017,Mónica Jiménez,T001,piso_reposicion,completo,225.2,7,completa
E00018,Arturo Luna,T001,cajas,completo,221.85,10,completa
E00019,Raúl Vargas,T001,cajas,completo,246.2,33,completa
E00020,Ramón Pérez,T001,cajas,completo,232.88,58,completa
E00021,Eduardo Contreras,T001,piso_reposicion,completo,230.43,81,completa
E00022,Carlos Contreras,T001,almacen,completo,242.67,59,parcial_tarde
E00023,Fernanda Sánchez,T001,almacen,completo,211.7,53,completa
E00024,Javier Juárez,T001,almacen,completo,202.92,113,parcial_tarde
E00025,Alejandro Ortiz,T001,perecederos,completo,249.7,19,completa
E00026,Alejandra Romero,T001,almacen,completo,214.68,69,completa
E00027,Rubén Gutiérrez,T001,cajas,completo,259.71,65,completa
E00028,Víctor Álvarez,T001,cajas,completo,253.42,57,completa
E00029,Fernanda Silva,T001,perecederos,completo,284.87,97,completa
E00030,Verónica Álvarez,T001,piso_reposicion,completo,243.22,32,completa
E00031,Karla Luna,T001,cajas,completo,244.38,115,completa
E00032,Andrea Luna,T001,piso_reposicion,completo,250.7,40,completa
E00033,Óscar Hernández,T001,perecederos,completo,241.69,65,completa
E00034,Mónica Rivera,T001,almacen,completo,201.14,63,completa
E00035,Jorge Vargas,T001,cajas,completo,225.4,102,parcial_tarde
E00036,Elena Romero,T001,perecederos,completo,280.57,53,completa
E00037,Ana López,T001,almacen,completo,223.09,34,completa
E00038,Carlos Hernández,T001,piso_reposicion,completo,218.06,2,completa
E00039,Diana Jiménez,T001,piso_reposicion,completo,235.05,44,completa
E00040,Verónica Mendoza,T001,cajas,completo,229.14,99,completa
E00041,Miguel Sánchez,T001,almacen,completo,234.82,1,parcial_tarde
E00042,Roberto Sánchez,T001,perecederos,completo,261.23,108,completa
E00043,Raúl Pérez,T001,cajas,completo,242.86,65,completa
E00044,Patricia Castillo,T001,cajas,completo,238.09,16,completa
E00045,Alejandro García,T001,piso_reposicion,completo,241.51,36,completa
E00046,Fernando Castillo,T001,piso_reposicion,completo,228.09,67,completa
E00047,Alejandra Ramos,T001,cajas,completo,225.26,38,completa
E00048,Fernando Chávez,T001,piso_reposicion,completo,215.9,13,completa
E00049,Eduardo Herrera,T001,piso_reposicion,completo,258.09,80,completa
E00050,Alejandro Jiménez,T001,piso_reposicion,completo,255.43,81,completa
E00051,Diana Castro,T001,perecederos,completo,278.98,14,completa
E00052,Fernando Ruiz,T001,perecederos,completo,248.61,34,completa
E00053,Rosa Núñez,T001,cajas,completo,278.15,29,completa
E00054,Óscar Álvarez,T001,piso_reposicion,completo,248.94,79,parcial_tarde
E00055,Patricia Jiménez,T001,piso_reposicion,completo,245.84,88,completa
E00056,Ricardo Ramos,T001,cajas,completo,246.96,87,completa
E00057,Karla Flores,T001,almacen,completo,213.61,113,completa
E00058,Cecilia Romero,T001,almacen,completo,204.82,93,completa
E00059,Gabriela Pérez,T001,perecederos,completo,293.18,38,completa
E00060,Brenda Luna,T001,piso_reposicion,completo,232.79,13,completa
E00061,Víctor Delgado,T001,cajas,completo,232.14,74,completa
E00062,Manuel González,T001,piso_reposicion,completo,225.3,110,completa
E00063,Ramón Álvarez,T001,almacen,completo,228.96,117,completa
E00064,Alejandro González,T001,cajas,completo,230.61,27,completa
E00065,Verónica Vargas,T001,almacen,completo,242.83,28,completa
E00066,Javier Hernández,T001,piso_reposicion,completo,247.93,4,completa
E00067,Rubén Ramos,T001,cajas,completo,263.17,17,completa
E00068,Víctor Medina,T001,cajas,completo,245.93,67,parcial_manana
E00069,Manuel Castro,T001,piso_reposicion,completo,241.37,66,parcial_manana
E00070,Arturo Ortiz,T001,perecederos,completo,270.89,44,completa
E00071,Francisco Núñez,T001,piso_reposicion,completo,242.49,37,completa
E00072,Ángel Ruiz,T001,cajas,completo,225.07,100,completa
E00073,Claudia Torres,T001,piso_reposicion,completo,230.79,55,completa
E00074,Javier Medina,T001,cajas,completo,222.5,97,completa
E00075,Ramón Castro,T001,cajas,completo,249.64,116,completa
E00076,Mónica Reyes,T001,perecederos,completo,253.09,38,completa
E00077,Ana Castro,T001,piso_reposicion,completo,217.23,24,completa
E00078,Ricardo Rojas,T001,perecederos,completo,237.24,115,completa
E00079,Miguel Juárez,T001,almacen,completo,229.38,76,completa
E00080,Eduardo Ruiz,T001,cajas,completo,230.24,35,completa
E00081,Javier Romero,T002,piso_reposicion,completo,252.47,62,completa
E00082,Silvia Álvarez,T002,piso_reposicion,completo,212.86,101,completa
E00083,Mónica Aguilar,T002,almacen,completo,240.05,46,completa
E00084,Ricardo Gutiérrez,T002,cajas,completo,275.67,59,parcial_tarde
E00085,Ramón Guerrero,T002,almacen,completo,238.61,5,completa
E00086,Roberto Ramos,T002,cajas,completo,261.89,14,completa
E00087,Javier Luna,T002,almacen,completo,241.9,6,completa
E00088,Carlos Silva,T002,cajas,completo,222.41,8,completa
E00089,Guadalupe Romero,T002,cajas,completo,232.11,105,completa
E00090,Sergio Medina,T002,piso_reposicion,completo,216.25,101,completa
E00091,Rosa Rivera,T002,cajas,completo,250.27,99,completa
E00092,Silvia Juárez,T002,cajas,completo,264.71,6,parcial_manana
E00093,Víctor Medina,T002,perecederos,completo,274.1,9,completa
E00094,Paola Núñez,T002,almacen,completo,242.56,33,completa
E00095,Eduardo Rivera,T002,piso_reposicion,completo,217.76,68,completa
E00096,Adriana Álvarez,T002,cajas,completo,264.08,40,parcial_manana
E00097,Ana Chávez,T002,piso_reposicion,completo,219.65,58,completa
E00098,Andrea Ramírez,T002,piso_reposicion,completo,223.54,20,parcial_manana
E00099,Manuel Sánchez,T002,piso_reposicion,completo,245.5,88,completa
E00100,Brenda Castillo,T002,piso_reposicion,completo,259.01,37,parcial_manana
E00101,Francisco Díaz,T002,piso_reposicion,completo,240.58,8,completa
E00102,Manuel González,T002,perecederos,completo,233.82,89,completa
E00103,Daniela Gutiérrez,T002,cajas,completo,256.98,109,completa
